Split,CaseId,Joint,RMSE_Nm,MAE_Nm,MaxAbsError_Nm,NRMSE_TrainStd,R2,ReferenceAbsPeak_Nm,PredictedAbsPeak_Nm,AbsPeakError_Nm,AbsPeakError_percent
train,136,2,0.000855411053410013,0.000622848526652573,0.00208220103153711,0.00218632175476533,0.999993056488606,0.961028773156414,0.963092206209433,0.00206343305301859,0.214710850565007
train,136,3,0.000867555160440099,0.000719310829189828,0.001619364816001,0.0118090310730739,0.999834797254388,0.636334465254534,0.636432039831017,9.75745764826286e-05,0.0153338506415174
train,137,1,0.00100555553717337,0.000899565730315892,0.00185900468434497,0.0014748448332778,0.999998172030295,1.19734966288878,1.19838838102832,0.00103871813954615,0.0867514454416006
train,137,2,0.00087117557478653,0.00073818957694091,0.00183287619721126,0.00222661386450783,0.999995870857097,1.02503577372511,1.0236378254098,0.00139794831530748,0.136380441652993
train,137,3,0.000835680563244982,0.000590980360586571,0.00200080227638177,0.0113751588239273,0.99980612745552,0.617847727632202,0.617529322840185,0.000318404792016724,0.0515345088727537
validation,138,1,0.00378142773865424,0.00299159907950263,0.00823944965567508,0.00554620700358794,0.999941967632565,0.819256310953842,0.818856511485021,0.000399799468821627,0.0488002916152271
validation,138,2,0.00209485396146725,0.0016850154556547,0.00463561054421796,0.00535418004099242,0.999967335689489,0.98513114796009,0.986259947482655,0.00112879952256517,0.114583680041239
validation,138,3,0.00161315918151212,0.00132446727959256,0.00356725145369935,0.021958081478793,0.998940202604688,0.645534971795013,0.644801620066575,0.000733351728437914,0.113603717920768
train,139,1,0.00201166011057635,0.00178904993476018,0.00368332895795614,0.00295049493609726,0.999986055129094,0.807982302159717,0.805362970740036,0.00261933141968163,0.324181781293998
train,139,2,0.00131016625201288,0.00116965185814002,0.00216153866286839,0.00334861814997162,0.99998515015625,0.894522197969535,0.896659721429713,0.00213752346017815,0.238957005765769
train,139,3,0.000938823971825569,0.000825893398220871,0.00154356545903045,0.0127791314731051,0.999375111315425,0.631126500387837,0.63133286576641,0.000206365378572548,0.0326979422422816
train,140,1,0.00103251157367415,0.000836683420981487,0.00249392767450651,0.00151438115890989,0.99999764261777,0.995252780658224,0.996377066134158,0.00112428547593391,0.112964816354529
train,140,2,0.00129473147863126,0.00105021899110623,0.00212499155439461,0.00330916883412566,0.999944907659032,0.669088337060415,0.670905631010885,0.00181729395047014,0.271607476892256
train,140,3,0.000367799238138088,0.000280920068225981,0.000815293635007153,0.00500642821330491,0.999951340096845,0.631446668533799,0.631286653821094,0.000160014712705103,0.0253409702955046
train,141,1,0.00233526981558289,0.00157022890439013,0.00768205580848136,0.00342513217271282,0.999987868126481,0.990344984766033,0.990563108721246,0.000218123955212146,0.0220250476922118
train,141,2,0.0019070734301255,0.00156667114760084,0.0040186592326521,0.00487423690820584,0.999982575024672,1.0359789018802,1.03677343698707,0.000794535106868999,0.0766941397577687
train,141,3,0.000821045488265238,0.000650811358058034,0.00218572770317699,0.0111759483724502,0.999958537995561,0.638344491838871,0.637928530659213,0.00041596117965792,0.0651624921928387
train,142,1,0.00191496804769916,0.00155007344519144,0.00368334236331802,0.00280867702144059,0.99999089568956,0.93505969793143,0.935735058038161,0.000675360106731637,0.0722264159417512
train,142,2,0.000944662727073516,0.000762849374194732,0.00279546680113829,0.00241443767050181,0.999992387581969,1.07527981145575,1.07478625340085,0.000493558054893484,0.045900429789088
train,142,3,0.000713719939560537,0.000548126307105351,0.00166979360979547,0.00971504905747688,0.99991784602891,0.610084006779668,0.608548236240397,0.00153577053927056,0.251730994781709
test,143,1,0.00263374372583455,0.0022576804336698,0.0047267631708936,0.00386290282597809,0.999980860167137,0.892542844445348,0.890420285709442,0.00212255873590583,0.237810291025845
test,143,2,0.00184496693372147,0.00158997780203136,0.00322333115148077,0.00471550060983901,0.999931966982238,0.743459356964463,0.744740862528957,0.00128150556449447,0.172370628264986
